Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
0,1,0.4136,1,1,1,1,1,1,1,1,0.2949,0.4136,0,1,0.3184,1,1,1,1,1,1,0.1727,0.3184,0,1,0.6451,1,1,1,0.5246,0.6451,0,1,1,1,1,1,0.396942616,0,0.692882299,1,1,1,1,1,0.227019295,0,0.100365713,1,1,1,1,1,0.750804782,0,0.469610923,0.469642479,0.469858156
1,1,0.4135,1,1,1,1,1,1,1,1,0.2855,0.4135,0,1,0.3184,1,1,1,1,1,1,0.1644,0.3184,0,1,0.6452,1,1,1,0.5049,0.6452,0,1,1,1,1,1,0.351704359,0,0.756700516,1,1,1,1,1,0.235586584,0,0.267657876,1,1,1,1,1,0.71875,0,0.444055099,0.444044849,0.444148936
2,1,0.4134,1,1,1,1,1,1,1,1,0.2822,0.4134,0,1,0.3184,1,1,1,1,1,1,0.2645,0.3184,0,1,0.6453,1,1,1,0.4734,0.6453,0,1,1,1,1,1,0.397691101,0,0.573801279,1,1,1,1,1,0.297784984,0,0.260432482,1,1,1,1,1,0.628944397,0,0.425144998,0.425005289,0.425088652
3,1,0.4132,1,1,1,1,1,1,1,1,0.2999,0.4132,0,1,0.3184,1,1,1,1,1,1,0.214,0.3184,0,1,0.6454,1,1,1,0.443,0.6454,0,1,1,1,1,1,0.427253336,0,0.457804859,1,1,1,1,1,0.25886327,0,0.229244262,1,1,1,1,1,0.579314351,0,0.415538908,0.415697059,0.415780142
4,1,0.4131,1,1,1,1,1,1,1,1,0.2623,0.4131,0,1,0.3184,1,1,1,1,1,1,0.1407,0.3184,0,1,0.6455,1,1,1,0.4305,0.6455,0,1,1,1,1,1,0.339119017,0,0.468307495,1,1,1,1,1,0.153275698,0,0.092216238,1,1,1,1,1,0.528715968,0,0.414088932,0.414004654,0.414007092
5,1,0.413,1,1,1,1,1,1,1,1,0.1912,0.413,0,1,0.3184,1,1,1,1,1,1,0.0858,0.3184,0,1,0.6456,1,1,1,0.3967,0.6456,0,1,1,1,1,1,0.236915365,0,0.412337005,1,1,1,1,1,0.099269398,0,0.104046598,1,1,1,1,1,0.454047352,0,0.421399227,0.421408927,0.421542553
6,1,0.4128,1,1,1,1,1,1,1,1,0.136,0.4128,0,1,0.3183,1,1,1,1,1,1,0.1152,0.3183,0,1,0.6457,1,1,1,0.342,0.6457,0,1,1,1,1,1,0.193665192,0,0.262161851,1,1,1,1,1,0.12413507,0,0.04129529,1,1,1,1,1,0.373771489,0,0.437046883,0.437063677,0.437056738
7,1,0.4127,1,1,1,1,1,1,1,1,0.1334,0.4127,0,1,0.3183,1,1,1,1,1,1,0.1681,0.3183,0,1,0.6458,1,1,1,0.2295,0.6458,0,1,1,1,1,1,0.214257017,0,0.125884831,1,1,1,1,1,0.171423361,0,0.014864398,1,1,1,1,1,0.307659447,0,0.451244563,0.451237571,0.451241135
8,1,0.4126,1,1,1,1,1,1,1,1,0.0745,0.4126,0.1779,1,0.3183,1,1,1,1,1,1,0.1389,0.3183,0.2003,1,0.6459,1,1,1,0.1839,0.6459,0.0921,1,1,1,1,1,0.137640193,0.307505727,0.016297186,1,1,1,1,1,0.140140936,0.349100381,0.035862304,1,1,1,1,1,0.271249354,0.322813988,0.475350411,0.475354347,0.475177305
9,1,0.4124,1,1,1,1,1,1,1,1,0.0048,0.4124,0.429,1,0.3183,1,1,1,1,1,1,0,0.3183,0.4221,1,0.646,1,1,1,0.0605,0.646,0.3908,1,1,1,1,1,0.001854794,0.664258897,0.006198792,1,1,1,1,1,0,0.649626613,0.058487438,1,1,1,1,1,0.041609347,0.698319793,0.498852102,0.498836471,0.499113475
10,1,0.4123,1,1,1,1,1,1,1,1,0.0102,0.4123,0.5748,1,0.3183,1,1,1,1,1,1,0,0.3183,0.5774,1,0.6461,1,1,1,0.02,0.6461,0.5199,1,1,1,1,1,0.001021812,0.806394994,0.004277106,1,1,1,1,1,0,0.817615747,0.048426706,1,1,1,1,1,0.017806141,0.848766565,0.513110198,0.513010366,0.51285461
11,1,0.4121,1,1,1,1,1,1,1,1,0.0157,0.4121,0.6484,1,0.3183,1,1,1,1,1,1,0,0.3183,0.6504,1,0.6462,1,1,1,0.0054,0.6462,0.5648,1,1,1,1,1,0.000917067,0.890713811,0.008617217,1,1,1,1,1,0.000700216,0.874043703,0.054960214,1,1,1,1,1,0.005531413,0.923345685,0.518366361,0.518299133,0.518617021
12,1,0.412,1,1,1,1,1,1,1,1,0.0189,0.412,0.6208,1,0.3183,1,1,1,1,1,1,0.0381,0.3183,0.6166,1,0.6463,1,1,1,0.0009,0.6463,0.5842,1,1,1,1,1,0.001747156,0.851356745,0.138515979,1,1,1,1,1,0.036487028,0.881147265,0.092642143,1,1,1,1,1,0.007275489,0.939960599,0.520843403,0.520837741,0.521276596
13,1,0.4119,1,1,1,1,1,1,1,1,0.0143,0.4119,0.596,1,0.3183,1,1,1,1,1,1,0.1596,0.3183,0.6205,1,0.6464,1,1,1,0.0022,0.6464,0.5502,1,1,1,1,1,0.002922443,0.827452779,0.164322734,1,1,1,1,1,0.142956242,0.858554244,0.275910497,1,1,1,1,1,0.013224672,0.819240212,0.516191397,0.516183626,0.516400709
14,1,0.4117,1,1,1,1,1,1,1,1,0.0458,0.4117,0.5013,1,0.3183,1,1,1,1,1,1,0.1289,0.3183,0.513,1,0.6465,1,1,1,0.0013,0.6465,0.4342,1,1,1,1,1,0.032402053,0.734777331,0.15682584,1,1,1,1,1,0.137140393,0.767803848,0.46294868,1,1,1,1,1,0.015135724,0.684976399,0.511056066,0.51110641,0.51108156
15,1,0.4116,1,1,1,1,1,1,1,1,0.067,0.4116,0.3311,1,0.3183,1,1,1,1,1,1,0.1519,0.3183,0.3369,1,0.6466,1,1,1,0.0144,0.6466,0.2639,1,1,1,1,1,0.063479923,0.490042329,0.114826471,1,1,1,1,1,0.152674079,0.544382453,0.8360641,1,1,1,1,1,0.047520526,0.462253869,0.514076849,0.514068119,0.514184397
16,1,0.4115,1,1,1,1,1,1,1,1,0.0606,0.4115,0.0642,1,0.3183,1,1,1,1,1,1,0.1017,0.3183,0.1068,1,0.6467,1,1,1,0.0585,0.6467,0.0101,1,1,1,1,1,0.04487535,0.181476921,0.14554593,1,1,1,1,1,0.100329429,0.254588842,0.683939576,1,1,1,1,1,0.162931502,4.89E-06,0.564101015,0.563994077,0.56427305
17,1,0.4113,1,1,1,1,1,1,1,1,0.1477,0.4113,0,1,0.3183,1,1,1,1,1,1,0.3104,0.3183,0,1,0.6468,1,1,1,0.1846,0.6468,0,1,1,1,1,1,0.181191564,0,0.555196047,1,1,1,1,1,0.355215728,0,0.775931239,1,1,1,1,1,0.392363906,0,0.611648139,0.611804527,0.611702128
18,1,0.4112,1,1,1,1,1,1,1,1,0.3617,0.4112,0,1,0.3183,1,1,1,1,1,1,0.3362,0.3183,0,1,0.6469,1,1,1,0.2693,0.6469,0,1,1,1,1,1,0.402027905,0,0.834268093,1,1,1,1,1,0.43245405,0,0.868137777,1,1,1,1,1,0.55997026,0,0.608083615,0.607996615,0.608156028
19,1,0.4111,1,1,1,1,1,1,1,1,0.3334,0.4111,0,1,0.3183,1,1,1,1,1,1,0.295,0.3183,0,1,0.647,1,1,1,0.3721,0.647,0,1,1,1,1,1,0.39749518,0,0.727838397,1,1,1,1,1,0.356460899,0,0.465393215,1,1,1,1,1,0.690556824,0,0.589475592,0.589591707,0.589539007
20,1,0.4109,1,1,1,1,1,1,1,1,0.3371,0.4109,0,1,0.3183,1,1,1,1,1,1,0.3486,0.3183,0,1,0.6471,1,1,1,0.4032,0.6471,0,1,1,1,1,1,0.496466726,0,0.715845704,1,1,1,1,1,0.360006928,0,0.662286997,1,1,1,1,1,0.705738544,0,0.567665539,0.567801989,0.567819149
21,1,0.4108,1,1,1,1,1,1,1,1,0.3655,0.4108,0,1,0.3183,1,1,1,1,1,1,0.402,0.3183,0,1,0.6472,1,1,1,0.4321,0.6472,0,1,1,1,1,1,0.473803699,0,0.997990131,1,1,1,1,1,0.485178649,0,1,1,1,1,1,1,0.706102192,0,0.537276462,0.537338693,0.537677305
22,1,0.4107,1,1,1,1,1,1,1,1,0.3239,0.4107,0,1,0.3183,1,1,1,1,1,1,0.5832,0.3183,0,1,0.6473,1,1,1,0.3869,0.6473,0,1,1,1,1,1,0.41893515,0,1,1,1,1,1,1,0.574807107,0,1,1,1,1,1,1,0.678121626,0,0.499637506,0.499682674,0.5
23,1,0.4105,1,1,1,1,1,1,1,1,0.3099,0.4105,0,1,0.3183,1,1,1,1,1,1,0.2323,0.3183,0,1,0.6474,1,1,1,0.3839,0.6474,0,1,1,1,1,1,0.284269661,0,1,1,1,1,1,1,0.278674126,0,1,1,1,1,1,1,0.698061824,0,0.457467376,0.457372541,0.457446809
24,1,0.4104,1,1,1,1,1,1,1,1,0.2563,0.4104,0,1,0.3183,1,1,1,1,1,1,0.1156,0.3183,0,1,0.6475,1,1,1,0.3826,0.6475,0,1,1,1,1,1,0.188350141,0,1,1,1,1,1,1,0.139861226,0,1,1,1,1,1,1,0.621020198,0,0.421761721,0.421832029,0.421985816
25,1,0.4103,1,1,1,1,1,1,1,1,0.2859,0.4103,0,1,0.3183,1,1,1,1,1,1,0.1172,0.3183,0,1,0.6476,1,1,1,0.371,0.6476,0,1,1,1,1,1,0.224506184,0,1,1,1,1,1,1,0.168102473,0,1,1,1,1,1,1,0.474156827,0,0.400132914,0.40004231,0.400265957
26,1,0.4101,1,1,1,1,1,1,1,1,0.3088,0.4101,0,1,0.3183,1,1,1,1,1,1,0.2896,0.3183,0,1,0.6477,1,1,1,0.398,0.6477,0,1,1,1,1,1,0.251233041,0,1,1,1,1,1,1,0.320846438,0,1,1,1,1,1,1,0.397637963,0,0.389741421,0.389676327,0.390070922
27,1,0.41,1,1,1,1,1,1,1,1,0.4519,0.41,0,1,0.3183,1,1,1,1,1,1,0.3875,0.3183,0,1,0.6478,1,1,1,0.4724,0.6478,0,1,1,1,1,1,0.423246384,0,1,1,1,1,1,1,0.398732245,0,1,1,1,1,1,1,0.459125578,0,0.387324795,0.38734927,0.387411348
28,1,0.4099,1,1,1,1,1,1,1,1,0.5653,0.4099,0,1,0.3183,1,1,1,1,1,1,0.1827,0.3183,0,1,0.6479,1,1,1,0.3937,0.6479,0,1,1,1,1,1,0.421854436,0,1,1,1,1,1,1,0.229090437,0,1,1,1,1,1,1,0.582124412,0,0.395903818,0.395811297,0.395833333
29,1,0.4097,1,1,1,1,1,1,1,1,0.4498,0.4097,0,1,0.3183,1,1,1,1,1,1,0.163,0.3183,0,1,0.648,1,1,1,0.2414,0.648,0,1,1,1,1,1,0.305953681,0,1,1,1,1,1,1,0.256587178,0,1,1,1,1,1,1,0.594611824,0,0.417532624,0.417601015,0.417553191
30,1,0.4096,1,1,1,1,1,1,1,1,0.2783,0.4096,0,1,0.3183,1,1,1,1,1,1,0.2013,0.3183,0,1,0.6481,1,1,1,0.2083,0.6481,0,1,1,1,1,1,0.192249268,0,1,1,1,1,1,1,0.295360506,0,1,1,1,1,1,1,0.523316741,0,0.449975834,0.449968267,0.449911348
31,1,0.4095,1,1,1,1,1,1,1,1,0.1689,0.4095,0,1,0.3183,1,1,1,1,1,1,0.0845,0.3183,0,1,0.6482,1,1,1,0.2312,0.6482,0,1,1,1,1,1,0.149604544,0,0.995912135,1,1,1,1,1,0.099968791,0,1,1,1,1,1,1,0.505927622,0,0.47661914,0.476623651,0.476950355
32,1,0.4093,1,1,1,1,1,1,1,1,0.1614,0.4093,0.16,1,0.3183,1,1,1,1,1,1,0.16,0.3183,0.1615,1,0.6483,1,1,1,0.2862,0.6483,0.0553,1,1,1,1,1,0.180308625,0.267868817,0.993907154,1,1,1,1,1,0.25320828,0.32061851,1,1,1,1,1,1,0.699059665,0.272139698,0.50918318,0.509202454,0.509308511
33,1,0.4092,1,1,1,1,1,1,1,1,0.3342,0.4092,0.3418,1,0.3183,1,1,1,1,1,1,0.384,0.3183,0.4263,1,0.6484,1,1,1,0.3787,0.6484,0.2643,1,1,1,1,1,0.256795734,0.513893187,1,1,1,1,1,1,0.36892122,0.678075731,1,1,1,1,1,1,0.826630592,0.615309954,0.542653456,0.54283901,0.542553191
34,1,0.4091,1,1,1,1,1,1,1,1,0.4243,0.4091,0.4952,1,0.3183,1,1,1,1,1,1,0.8484,0.3183,0.57,1,0.6485,1,1,1,0.447,0.6485,0.3818,1,1,1,1,1,0.383252978,0.735028386,1,1,1,1,1,1,0.792916954,0.822538674,1,1,1,1,1,1,0.659122109,0.788045704,0.567182214,0.567167337,0.567375887
35,1,0.4089,1,1,1,1,1,1,1,1,0.5246,0.4089,0.5654,1,0.3183,1,1,1,1,1,1,0.5963,0.3183,0.6482,1,0.6486,1,1,1,0.3888,0.6486,0.4467,1,1,1,1,1,0.555624604,0.808727384,1,1,1,1,1,1,0.622025073,0.88778913,1,1,1,1,1,1,0.634221315,0.864383221,0.577211213,0.577110218,0.577570922
36,1,0.4088,1,1,1,1,1,1,1,1,0.5181,0.4088,0.5713,1,0.3183,1,1,1,1,1,1,0.7561,0.3183,0.6314,1,0.6487,1,1,1,0.416,0.6487,0.4562,1,1,1,1,1,0.684506655,0.772403061,1,1,1,1,1,1,0.744931161,0.83617878,1,1,1,1,1,1,0.725925446,0.822544813,0.576304978,0.576264015,0.576241135
37,1,0.4087,1,1,1,1,1,1,1,1,0.5327,0.4087,0.5414,1,0.3183,1,1,1,1,1,1,0.6341,0.3183,0.5409,1,0.6488,1,1,1,0.3332,0.6488,0.4705,1,1,1,1,1,0.744437516,0.757805645,1,1,1,1,1,1,0.652433395,0.713875294,1,1,1,1,1,1,0.581048727,0.782269299,0.572559207,0.572667654,0.572695035
38,1,0.4085,1,1,1,1,1,1,1,1,0.5546,0.4085,0.4677,1,0.3183,1,1,1,1,1,1,0.6438,0.3183,0.4277,1,0.6489,1,1,1,0.3748,0.6489,0.3819,1,1,1,1,1,0.774056852,0.653667092,1,1,1,1,1,1,0.639724731,0.613905907,0.990713418,1,1,1,1,1,0.599362791,0.710992575,0.570746738,0.570763698,0.570921986
39,1,0.4084,1,1,1,1,1,1,1,1,0.4497,0.4084,0.3193,1,0.3182,1,1,1,1,1,1,0.4929,0.3182,0.3402,1,0.649,1,1,1,0.4559,0.649,0.2288,1,1,1,1,1,0.625833631,0.466638684,0.948113322,1,1,1,1,1,0.437041402,0.494133532,0.788425088,1,1,1,1,1,0.75038898,0.541579366,0.579446593,0.579437275,0.579787234
40,1,0.4082,1,1,1,1,1,1,1,1,0.4803,0.4082,0.1003,1,0.3182,1,1,1,1,1,1,0.3692,0.3182,0.1301,1,0.6491,1,1,1,0.3908,0.6491,0,1,1,1,1,1,0.617654681,0.230477333,0.91214627,1,1,1,1,1,0.348974109,0.251622826,0.807352126,1,1,1,1,1,0.637100637,0.060262267,0.633820686,0.633805796,0.633865248
41,1,0.4081,1,1,1,1,1,1,1,1,0.3576,0.4081,0,1,0.3182,1,1,1,1,1,1,0.2805,0.3182,0,1,0.6492,1,1,1,0.2995,0.6492,0,1,1,1,1,1,0.432098866,0,0.639367938,1,1,1,1,1,0.270527005,0,0.650535107,1,1,1,1,1,0.387857139,0,0.688798937,0.68880897,0.688829787
42,1,0.408,1,1,1,1,1,1,1,1,0.2938,0.408,0,1,0.3182,1,1,1,1,1,1,0.1947,0.3182,0,1,0.6493,1,1,1,0.3621,0.6493,0,1,1,1,1,1,0.304841578,0,0.511902213,1,1,1,1,1,0.203147843,0,0.771845579,1,1,1,1,1,0.415177315,0,0.682757371,0.682674,0.683067376
43,1,0.4078,1,1,1,1,1,1,1,1,0.1823,0.4078,0,1,0.3182,1,1,1,1,1,1,0.0487,0.3182,0,1,0.6494,1,1,1,0.3461,0.6494,0,1,1,1,1,1,0.190144315,0,0.272218019,1,1,1,1,1,0.068841651,0,0.557867289,1,1,1,1,1,0.488176942,0,0.666263896,0.666384599,0.666666667
44,1,0.4077,1,1,1,1,1,1,1,1,0.3251,0.4077,0,1,0.3182,1,1,1,1,1,1,0.1325,0.3182,0,1,0.6495,1,1,1,0.434,0.6495,0,1,1,1,1,1,0.361776382,0,0.275240481,1,1,1,1,1,0.189152598,0,0.986330926,1,1,1,1,1,0.524830461,0,0.639318511,0.639306114,0.639184397
45,1,0.4076,1,1,1,1,1,1,1,1,0.3995,0.4076,0,1,0.3182,1,1,1,1,1,1,0.1941,0.3182,0,1,0.6496,1,1,1,0.3591,0.6496,0,1,1,1,1,1,0.456682593,0,0.350170732,1,1,1,1,1,0.223696217,0,1,1,1,1,1,1,0.477410108,0,0.596967134,0.59678443,0.597074468
46,1,0.4074,1,1,1,1,1,1,1,1,0.3288,0.4074,0,1,0.3182,1,1,1,1,1,1,0.1941,0.3182,0,1,0.6497,1,1,1,0.299,0.6497,0,1,1,1,1,1,0.342495501,0,0.389028907,1,1,1,1,1,0.203342319,0,1,1,1,1,1,1,0.441564977,0,0.544345094,0.544319865,0.544326241
47,1,0.4073,1,1,1,1,1,1,1,1,0.3197,0.4073,0,1,0.3182,1,1,1,1,1,1,0.2426,0.3182,0,1,0.6498,1,1,1,0.3381,0.6498,0,1,1,1,1,1,0.306501925,0,0.503914595,1,1,1,1,1,0.222409695,0,0.968077779,1,1,1,1,1,0.536026478,0,0.496737554,0.496720965,0.496897163
48,1,0.4072,1,1,1,1,1,1,1,1,0.2969,0.4072,0,1,0.3182,1,1,1,1,1,1,0.2357,0.3182,0,1,0.6499,1,1,1,0.3664,0.6499,0,1,1,1,1,1,0.32572329,0,0.24414511,1,1,1,1,1,0.218940973,0,0.749802947,1,1,1,1,1,0.602063954,0,0.465140164,0.465199915,0.465425532
49,1,0.407,1,1,1,1,1,1,1,1,0.224,0.407,0,1,0.3182,1,1,1,1,1,1,0.2982,0.3182,0,1,0.65,1,1,1,0.2414,0.65,0,1,1,1,1,1,0.208208695,0,0.1234212,1,1,1,1,1,0.242061779,0,0.676838756,1,1,1,1,1,0.434863895,0,0.449371677,0.449333615,0.449468085
50,1,0.4069,1,1,1,1,1,1,1,1,0.1816,0.4069,0,1,0.3182,1,1,1,1,1,1,0.2342,0.3182,0,1,0.6501,1,1,1,0.1824,0.6501,0,1,1,1,1,1,0.152336597,0,0.172045961,1,1,1,1,1,0.205231965,0,0.734210789,1,1,1,1,1,0.254829139,0,0.44181972,0.441929342,0.441932624
